-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 03/31/2021 
Location: Latitude  18.4205   Longitude 79.1687 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 251.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M          MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M          MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M
2010,1,1,20.6,7.48,14.05,21.13,16.98,30.24,13.26,6.59,47.19
2010,1,2,20.31,8.83,14.57,21.01,17.45,29.85,12.4,7.32,51.94
2010,1,3,20.92,5.01,12.97,20.7,18.23,30.79,12.55,5.62,39.44
2010,1,4,21.92,7.9,14.9,22.18,17.62,31.65,14.04,6.84,43.5
2010,1,5,21.87,9.83,15.85,22.62,16.73,31.2,14.48,7.75,49.62
2010,1,6,20.69,6.61,13.65,21.08,17.09,30.28,13.19,6.29,44.94
2010,1,7,20.61,6.44,13.52,20.78,18.15,29.58,11.44,6.23,43.19
2010,1,8,22.62,7.87,15.25,22.94,15.9,31.0,15.1,6.9,41.69
2010,1,9,23.62,10.66,17.14,23.88,13.44,30.05,16.61,8.36,46.0
2010,1,10,25.73,14.9,20.31,26.31,11.08,31.46,20.38,10.93,53.0
2010,1,11,26.28,18.19,22.23,27.54,13.08,33.05,19.98,13.37,64.06
2010,1,12,26.36,19.71,23.04,27.18,10.3,32.11,21.8,14.65,69.19
2010,1,13,23.79,20.38,22.08,24.26,6.57,27.83,21.26,15.26,82.06
2010,1,14,23.69,17.3,20.49,24.55,12.51,30.65,18.15,12.57,71.06
2010,1,15,23.02,14.04,18.53,23.91,13.01,30.68,17.67,10.31,60.31
2010,1,16,21.65,9.51,15.58,22.58,16.05,30.83,14.79,7.57,49.94
2010,1,17,21.43,7.33,14.38,22.2,16.73,30.83,14.11,6.47,43.44
2010,1,18,21.26,5.2,13.23,22.06,16.92,31.09,14.17,5.62,38.5
2010,1,19,20.71,1.33,11.02,21.05,18.9,31.37,12.47,4.33,32.44
2010,1,20,19.95,-0.79,9.58,20.33,19.52,31.07,11.55,3.72,29.56
2010,1,21,19.78,-1.46,9.16,19.75,18.99,30.58,11.6,3.54,28.12
2010,1,22,20.33,1.7,11.02,20.81,19.47,30.9,11.43,4.46,32.06
2010,1,23,21.12,0.48,10.8,20.92,19.34,31.17,11.83,4.03,28.38
2010,1,24,21.85,6.62,14.24,22.4,18.62,31.23,12.62,6.41,41.12
2010,1,25,22.13,9.31,15.72,23.33,17.35,31.42,14.06,7.57,49.38
2010,1,26,21.88,2.5,12.19,22.58,17.8,31.28,13.48,4.7,31.38
2010,1,27,22.62,4.01,13.31,23.35,16.95,31.01,14.05,5.31,31.5
2010,1,28,23.12,4.52,13.82,24.6,15.98,31.62,15.63,5.43,31.62
2010,1,29,22.67,5.62,14.15,23.73,16.59,31.66,15.07,5.92,35.44
2010,1,30,22.34,2.11,12.23,23.08,17.48,32.01,14.53,4.52,28.31
2010,1,31,22.81,1.87,12.34,23.69,19.16,32.71,13.55,4.46,27.44
2010,2,1,23.61,7.11,15.36,24.76,17.77,32.69,14.92,6.53,37.31
2010,2,2,24.9,11.62,18.26,26.23,16.11,32.96,16.85,8.79,48.06
2010,2,3,25.96,12.26,19.11,27.33,15.18,33.76,18.58,9.16,46.62
2010,2,4,25.86,10.55,18.21,27.25,15.23,33.61,18.37,8.12,41.56
2010,2,5,25.63,10.48,18.05,27.52,15.78,33.49,17.72,8.06,41.75
2010,2,6,25.18,9.38,17.28,26.48,15.22,33.15,17.94,7.51,39.06
2010,2,7,24.98,6.56,15.77,25.58,17.1,33.35,16.25,6.23,33.38
2010,2,8,25.6,5.48,15.54,26.06,17.85,34.68,16.83,5.8,29.94
2010,2,9,25.69,8.33,17.01,26.96,17.7,35.19,17.49,7.2,39.06
2010,2,10,25.58,9.44,17.51,27.06,17.95,34.86,16.92,7.75,42.69
2010,2,11,25.87,9.23,17.55,27.2,17.18,34.9,17.72,7.63,40.38
2010,2,12,27.16,10.3,18.73,28.92,18.09,36.3,18.21,8.12,40.88
2010,2,13,27.99,10.91,19.45,29.45,17.12,36.83,19.7,8.36,38.44
2010,2,14,29.08,11.78,20.43,30.8,16.75,37.7,20.95,8.91,38.62
2010,2,15,28.86,12.2,20.53,30.05,14.11,36.45,22.34,9.09,38.38
2010,2,16,28.1,12.53,20.31,29.25,15.86,36.71,20.85,9.34,42.31
2010,2,17,29.29,12.8,21.04,31.26,17.46,37.83,20.37,9.52,40.94
2010,2,18,30.6,11.53,21.06,32.79,14.09,37.76,23.68,8.67,32.5
2010,2,19,28.24,11.65,19.94,29.2,8.16,32.9,24.73,8.73,36.56
2010,2,20,29.5,13.08,21.3,31.68,14.32,37.25,22.93,9.58,38.56
