,Sampling Location,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-15 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y
0,"Balanagar , CITD office ",4.3,4.6,4.5,4.7,4.5,4.8,4.9,4.8,4.6,5,4.9,5.2,4.733333333333333,29.2,26.3,37.7,30.8,27.1,27.9,26.1,25.8,29.2,33,36.7,43.8,31.133333333333336,184,208,124,136,114,107,96,108,87,105,152,147,130.66666666666666,-,-,-,-,33,49,46,43,35,43,75,71,49.375,57,71,88,82,79,79,63,67,97,65,71,83,75.16666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Uppal, Modern food Industry, IDA",4.2,4.4,4.5,4.5,4.6,4.7,5,4.8,4.6,5.4,4.9,5.8,4.783333333333333,24.7,26,23.8,26.9,26.1,32.7,23.3,25.6,28.9,27.3,32.4,43.7,28.45,116,105,96,94,87,92,78,67,66,94,120,131,95.5,-,-,-,-,32,38,35,28,29,45,60,70,42.125,58,64,85,90,94,122,55,63,77,71,70,75,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Jubilee Hills, Police station",4.2,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.4,4.9,4.6,6.7,4.675,28.7,28.5,30.3,26.8,27.3,26.9,22.7,29.1,29.7,28.6,27.5,31.3,28.116666666666664,111,129,109,113,103,96,81,79,65,106,127,172,107.58333333333333,-,-,-,-,37,37,34,33,27,37,45,69,39.875,76,79,84,85,82,87,73,79,56,65,60,73,74.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Paradise, HMWS &SB Pump house ",4.2,4.4,4.5,4.6,4.6,4.6,4.7,4.8,4.6,5,4.8,5.6,4.7,31.9,25.3,28.2,29.3,28.3,28.5,20.6,30.2,30,26.9,32.1,35.3,28.883333333333336,139,146,135,141,129,119,101,105,91,104,120,117,120.58333333333333,,,,,,,,,,,,,,61,47,61,75,75,75,72,75,87,65,65,71,69.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Charminar, TSRTC bus station ",4.2,4.5,4.5,4.6,4.5,4.7,4.8,4.6,4.6,5.1,4.6,5.8,4.708333333333333,32,30,33.4,33,31.1,28.5,22.3,25.6,27.5,32.5,34.3,34.2,30.366666666666664,134,129,109,116,100,99,85,85,71,99,143,124,107.83333333333333,-,-,-,-,43,45,39,35,29,46,70,75,47.75,75,105,83,83,105,88,73,70,64,87,63,72,80.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Jeedimetla, Industrial Association building",4.3,4.5,4.4,4.6,4.6,4.8,4.8,4.8,4.6,4.9,4.8,8.9,4.999999999999999,28.6,26.1,26,26.1,29.2,30,22.7,26.9,27.3,28.3,33,31.2,27.95,172,134,133,122,111,93,75,76,73,108,151,134,115.16666666666667,,,,,,,,,,,,,,149,261,148,102,123,94,67,70,95,103,79,98,115.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Buddha Purnima Project office, Tank Bund",4.3,4.2,4.4,4.5,4.7,4.6,4.5,4.4,4.3,4.7,4.7,4.8,4.508333333333333,17.4,22.1,20.1,20.8,23.3,22.1,20.6,18.1,16.9,21.7,19.6,24.6,20.60833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"MGBS, Bus stand ",4.3,4.3,4.4,4.6,4.8,4.6,4.7,4.8,4.5,4.7,4.6,4.8,4.591666666666667,21.3,20.7,19.6,21.5,20.6,20.1,19.6,20.2,18,21.8,23,23.8,20.849999999999998,81,80,98,95,71,67,68,54,47,74,83,90,75.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Chikkadapally, Lepakshi Emporium ",4.2,4.1,4.5,4.5,4.7,5,4.9,4.9,4.5,5,4.7,5.3,4.691666666666666,21.9,21.5,22.9,18.5,21,23.1,25.7,22.2,20.3,25.1,20.9,25.1,22.349999999999998,90,83,93,74,66,73,63,78,62,89,100,109,81.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Langar House, Police Station ",4.3,4.4,4.6,4.6,4.7,4.8,4.7,4.7,4.4,4.9,4.7,4.5,4.608333333333333,23.1,21.7,19.9,22.4,26.6,25.1,21.8,21.4,20.7,25.4,22.8,24.4,22.941666666666666,120,125,112,86,70,68,65,64,54,75,109,116,88.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
