-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 03/31/2021 
Location: Latitude  17.9926   Longitude 79.6329 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 305.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M          MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M          MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M
2010,1,1,20.23,8.08,14.15,20.47,16.48,29.65,13.16,6.9,49.75
2010,1,2,20.37,11.37,15.87,20.69,16.25,29.14,12.89,8.67,59.38
2010,1,3,20.95,6.26,13.61,20.18,17.09,30.04,12.94,6.1,42.81
2010,1,4,21.37,8.6,14.98,21.35,17.03,30.76,13.73,7.2,47.25
2010,1,5,21.58,10.75,16.16,22.05,15.96,30.65,14.69,8.3,53.56
2010,1,6,20.62,8.52,14.57,20.5,16.38,29.5,13.12,7.14,50.0
2010,1,7,20.4,8.94,14.67,20.45,16.82,28.88,12.06,7.45,50.31
2010,1,8,22.48,11.76,17.12,22.65,14.78,30.25,15.48,8.91,54.81
2010,1,9,23.48,14.73,19.11,23.58,10.65,28.8,18.15,10.86,60.06
2010,1,10,24.89,17.54,21.21,25.72,11.14,30.9,19.76,12.88,66.12
2010,1,11,25.58,19.13,22.36,26.75,11.92,31.98,20.05,14.22,70.31
2010,1,12,26.13,19.47,22.8,27.08,11.05,32.45,21.39,14.53,69.56
2010,1,13,24.19,20.48,22.33,24.93,7.32,28.64,21.32,15.44,81.19
2010,1,14,23.83,18.1,20.97,24.66,10.38,29.82,19.43,13.31,73.38
2010,1,15,23.52,17.05,20.29,24.44,10.64,29.8,19.15,12.45,69.62
2010,1,16,22.48,12.7,17.59,23.44,13.85,30.57,16.72,9.52,58.06
2010,1,17,21.79,8.2,14.99,22.48,16.02,30.75,14.74,6.96,44.75
2010,1,18,21.4,6.55,13.98,22.15,16.56,30.75,14.19,6.23,41.19
2010,1,19,20.5,2.19,11.34,20.72,18.19,30.85,12.66,4.64,34.0
2010,1,20,19.97,0.49,10.23,20.15,18.9,30.69,11.8,4.09,31.62
2010,1,21,19.83,-0.6,9.62,19.58,18.49,30.23,11.73,3.78,29.19
2010,1,22,20.69,3.57,12.12,20.73,18.2,30.51,12.31,5.13,35.25
2010,1,23,21.54,3.21,12.37,21.21,17.59,30.83,13.24,5.0,33.0
2010,1,24,21.66,9.59,15.63,22.63,17.5,30.7,13.2,7.81,51.94
2010,1,25,22.05,10.33,16.19,23.17,16.86,30.98,14.12,8.12,53.5
2010,1,26,22.1,5.95,14.03,22.94,16.52,30.92,14.4,6.1,39.56
2010,1,27,22.93,8.9,15.92,23.7,14.2,29.69,15.5,7.57,43.38
2010,1,28,23.76,9.47,16.62,25.34,13.55,30.62,17.05,7.75,43.06
2010,1,29,23.37,9.45,16.41,24.8,14.69,31.27,16.58,7.81,45.12
2010,1,30,22.62,2.83,12.73,23.15,16.02,31.69,15.67,4.76,29.5
2010,1,31,22.82,2.65,12.73,23.89,18.79,32.65,13.86,4.76,29.06
2010,2,1,23.33,8.9,16.12,24.56,17.45,32.19,14.74,7.51,44.44
2010,2,2,24.55,12.67,18.61,26.02,15.66,32.54,16.87,9.52,53.31
2010,2,3,25.03,12.42,18.73,26.46,15.53,33.09,17.56,9.34,50.56
2010,2,4,24.9,10.9,17.9,26.33,15.6,32.97,17.37,8.42,46.0
2010,2,5,25.06,10.55,17.8,26.8,16.27,33.21,16.94,8.18,44.69
2010,2,6,25.09,10.29,17.69,26.37,14.84,32.87,18.03,8.0,41.62
2010,2,7,24.83,9.54,17.19,25.79,16.02,32.9,16.88,7.75,41.69
2010,2,8,25.41,8.08,16.75,26.34,17.22,34.37,17.15,7.02,37.56
2010,2,9,25.15,8.85,17.0,26.58,17.38,34.54,17.16,7.57,42.69
2010,2,10,24.94,9.86,17.4,26.55,17.96,34.33,16.37,8.06,46.62
2010,2,11,25.06,10.51,17.79,26.43,16.94,33.99,17.05,8.36,47.12
2010,2,12,26.41,11.08,18.75,28.21,17.77,35.61,17.83,8.67,45.62
2010,2,13,27.07,11.9,19.48,28.64,17.41,36.12,18.71,9.03,44.0
2010,2,14,28.01,12.02,20.01,29.78,17.09,36.81,19.73,9.16,42.25
2010,2,15,27.89,12.94,20.41,29.43,15.52,36.42,20.9,9.64,43.88
2010,2,16,27.47,13.19,20.33,28.87,16.73,36.4,19.66,9.89,47.25
2010,2,17,28.17,12.98,20.58,30.1,17.9,37.08,19.19,9.77,46.0
2010,2,18,29.91,12.44,21.18,32.16,15.4,37.53,22.13,9.28,37.31
2010,2,19,27.92,12.23,20.07,29.09,9.86,33.32,23.46,9.16,39.62
2010,2,20,29.02,12.92,20.98,31.24,16.05,37.39,21.34,9.64,41.12
2010,2,21,28.99,14.43,21.71,31.05,14.46,36.76,22.3,10.56,43.88
2010,2,22,29.71,15.12,22.41,31.94,15.13,37.1,21.97,11.11,44.5
2010,2,23,29.75,16.33,23.04,31.17,13.8,36.66,22.87,12.02,47.12
2010,2,24,28.88,10.79,19.83,30.36,14.03,37.08,23.05,8.67,37.38
2010,2,25,28.62,13.72,21.17,30.25,16.19,36.9,20.7,10.31,44.0
2010,2,26,29.78,14.99,22.38,31.83,14.67,37.09,22.42,11.11,44.5
2010,2,27,28.85,6.71,17.78,30.1,15.09,37.48,22.39,6.59,28.88
2010,2,28,28.54,1.62,15.08,29.31,18.42,38.13,19.71,4.39,19.5
2010,3,1,28.8,6.23,17.51,29.63,19.96,38.27,18.31,6.29,27.81
2010,3,2,29.26,10.37,19.82,30.85,18.73,38.3,19.57,8.18,35.5
2010,3,3,30.85,8.54,19.69,32.49,16.57,39.58,23.01,7.14,27.44
2010,3,4,31.3,9.71,20.5,32.83,16.93,39.36,22.43,7.75,28.75
2010,3,5,31.01,11.62,21.31,32.94,17.09,39.38,22.29,8.91,33.81
2010,3,6,31.53,12.62,22.08,33.29,17.18,39.79,22.61,9.46,34.94
2010,3,7,31.3,12.9,22.11,33.59,16.05,39.49,23.45,9.83,36.94
2010,3,8,31.44,6.46,18.95,33.57,18.03,40.48,22.44,6.16,22.81
2010,3,9,31.88,11.64,21.76,33.85,16.48,40.3,23.82,8.91,31.69
2010,3,10,31.19,14.66,22.93,33.32,15.99,39.4,23.41,10.8,40.62
2010,3,11,31.73,14.75,23.24,34.39,15.62,39.19,23.57,10.8,39.5
2010,3,12,31.47,13.97,22.72,33.48,14.97,38.68,23.72,10.25,37.44
2010,3,13,31.59,13.12,22.36,33.8,13.0,38.51,25.51,9.64,33.75
2010,3,14,33.32,11.59,22.46,34.58,12.65,39.76,27.12,8.79,27.81
2010,3,15,31.63,-0.24,15.7,32.34,17.55,40.61,23.05,4.03,15.25
2010,3,16,31.16,9.5,20.33,32.83,18.43,40.1,21.67,8.0,30.38
2010,3,17,31.5,11.74,21.62,33.57,15.91,39.61,23.69,9.09,34.56
