District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Adilabad Rural,01-Jun-22,32.3,42.2
Adilabad,Adilabad Rural,02-Jun-22,30.0,43.0
Adilabad,Adilabad Rural,03-Jun-22,33.6,44.5
Adilabad,Adilabad Rural,04-Jun-22,34.1,44.6
Adilabad,Adilabad Rural,05-Jun-22,32.3,40.8
Adilabad,Adilabad Rural,06-Jun-22,31.9,37.2
Adilabad,Adilabad Rural,07-Jun-22,32.1,42.8
Adilabad,Adilabad Rural,08-Jun-22,32.6,44.6
Adilabad,Adilabad Rural,09-Jun-22,29.6,44.9
Adilabad,Adilabad Rural,10-Jun-22,30.5,42.2
Adilabad,Adilabad Rural,11-Jun-22,28.4,42.7
Adilabad,Adilabad Rural,12-Jun-22,27.0,41.3
Adilabad,Adilabad Rural,13-Jun-22,28.1,35.3
Adilabad,Adilabad Rural,14-Jun-22,27.1,40.1
Adilabad,Adilabad Rural,15-Jun-22,25.4,36.5
Adilabad,Adilabad Rural,16-Jun-22,23.2,36.7
Adilabad,Adilabad Rural,17-Jun-22,24.8,33.7
Adilabad,Adilabad Rural,18-Jun-22,27.2,35.9
Adilabad,Adilabad Rural,19-Jun-22,27.5,37.0
Adilabad,Adilabad Rural,20-Jun-22,25.6,33.4
Adilabad,Adilabad Rural,21-Jun-22,23.8,34.3
Adilabad,Adilabad Rural,22-Jun-22,23.8,33.5
Adilabad,Adilabad Rural,23-Jun-22,24.7,34.3
Adilabad,Adilabad Rural,24-Jun-22,24.3,35.3
Adilabad,Adilabad Rural,25-Jun-22,23.0,32.7
Adilabad,Adilabad Rural,26-Jun-22,24.6,32.9
Adilabad,Adilabad Rural,27-Jun-22,25.5,31.4
Adilabad,Adilabad Rural,28-Jun-22,25.2,34.9
Adilabad,Adilabad Rural,29-Jun-22,25.9,34.0
Adilabad,Adilabad Rural,30-Jun-22,26.5,35.2
Adilabad,Adilabad Urban,01-Jun-22,31.0,42.5
Adilabad,Adilabad Urban,02-Jun-22,27.0,42.6
Adilabad,Adilabad Urban,03-Jun-22,32.2,45.3
Adilabad,Adilabad Urban,04-Jun-22,32.4,45.0
Adilabad,Adilabad Urban,05-Jun-22,25.4,38.5
Adilabad,Adilabad Urban,06-Jun-22,30.2,35.0
Adilabad,Adilabad Urban,07-Jun-22,28.8,43.1
Adilabad,Adilabad Urban,08-Jun-22,31.4,44.5
Adilabad,Adilabad Urban,09-Jun-22,28.1,44.7
Adilabad,Adilabad Urban,10-Jun-22,28.5,41.6
Adilabad,Adilabad Urban,11-Jun-22,25.8,42.9
Adilabad,Adilabad Urban,12-Jun-22,23.8,41.7
Adilabad,Adilabad Urban,13-Jun-22,24.9,36.5
Adilabad,Adilabad Urban,14-Jun-22,24.8,39.0
Adilabad,Adilabad Urban,15-Jun-22,27.1,38.9
Adilabad,Adilabad Urban,16-Jun-22,25.2,37.4
Adilabad,Adilabad Urban,17-Jun-22,23.6,37.0
Adilabad,Adilabad Urban,18-Jun-22,25.9,36.8
Adilabad,Adilabad Urban,19-Jun-22,26.3,37.7
Adilabad,Adilabad Urban,20-Jun-22,26.1,34.1
Adilabad,Adilabad Urban,21-Jun-22,24.5,37.0
Adilabad,Adilabad Urban,22-Jun-22,23.7,33.8
Adilabad,Adilabad Urban,23-Jun-22,24.9,34.6
Adilabad,Adilabad Urban,24-Jun-22,25.1,37.8
Adilabad,Adilabad Urban,25-Jun-22,23.0,32.9
Adilabad,Adilabad Urban,26-Jun-22,23.8,32.8
Adilabad,Adilabad Urban,27-Jun-22,25.8,32.6
Adilabad,Adilabad Urban,28-Jun-22,25.8,34.5
Adilabad,Adilabad Urban,29-Jun-22,26.0,32.8
Adilabad,Adilabad Urban,30-Jun-22,24.9,36.2
Adilabad,Bazarhathnoor,01-Jun-22,28.2,38.6
Adilabad,Bazarhathnoor,02-Jun-22,24.8,37.5
Adilabad,Bazarhathnoor,03-Jun-22,27.9,40.5
Adilabad,Bazarhathnoor,04-Jun-22,28.9,40.8
Adilabad,Bazarhathnoor,05-Jun-22,29.4,36.0
Adilabad,Bazarhathnoor,06-Jun-22,26.9,34.6
Adilabad,Bazarhathnoor,07-Jun-22,29.6,37.5
Adilabad,Bazarhathnoor,08-Jun-22,30.0,40.7
Adilabad,Bazarhathnoor,09-Jun-22,23.7,40.8
Adilabad,Bazarhathnoor,10-Jun-22,27.0,36.0
Adilabad,Bazarhathnoor,11-Jun-22,26.9,38.5
Adilabad,Bazarhathnoor,12-Jun-22,23.1,36.7
Adilabad,Bazarhathnoor,13-Jun-22,24.3,33.7
Adilabad,Bazarhathnoor,14-Jun-22,23.7,35.5
Adilabad,Bazarhathnoor,15-Jun-22,23.8,35.0
Adilabad,Bazarhathnoor,16-Jun-22,23.5,33.3
Adilabad,Bazarhathnoor,17-Jun-22,22.8,32.7
Adilabad,Bazarhathnoor,18-Jun-22,24.3,32.9
Adilabad,Bazarhathnoor,19-Jun-22,24.6,34.5
Adilabad,Bazarhathnoor,20-Jun-22,24.8,31.8
Adilabad,Bazarhathnoor,21-Jun-22,23.3,33.9
Adilabad,Bazarhathnoor,22-Jun-22,22.1,29.8
Adilabad,Bazarhathnoor,23-Jun-22,23.3,31.7
Adilabad,Bazarhathnoor,24-Jun-22,23.5,32.9
Adilabad,Bazarhathnoor,25-Jun-22,22.3,29.8
Adilabad,Bazarhathnoor,26-Jun-22,22.1,30.1
Adilabad,Bazarhathnoor,27-Jun-22,24.2,31.0
Adilabad,Bazarhathnoor,28-Jun-22,24.1,31.8
Adilabad,Bazarhathnoor,29-Jun-22,24.8,31.2
Adilabad,Bazarhathnoor,30-Jun-22,25.7,32.8
Adilabad,Bela,01-Jun-22,31.5,41.8
Adilabad,Bela,02-Jun-22,29.8,43.2
Adilabad,Bela,03-Jun-22,33.3,44.5
Adilabad,Bela,04-Jun-22,33.7,44.9
Adilabad,Bela,05-Jun-22,32.1,40.1
Adilabad,Bela,06-Jun-22,32.5,37.8
Adilabad,Bela,07-Jun-22,31.8,42.9
Adilabad,Bela,08-Jun-22,32.2,44.8
Adilabad,Bela,09-Jun-22,28.5,43.4
Adilabad,Bela,10-Jun-22,29.6,41.2
Adilabad,Bela,11-Jun-22,25.2,42.5
Adilabad,Bela,12-Jun-22,25.0,40.3
Adilabad,Bela,13-Jun-22,26.9,35.6
Adilabad,Bela,14-Jun-22,24.5,38.9
Adilabad,Bela,15-Jun-22,27.3,37.3
Adilabad,Bela,16-Jun-22,25.6,36.5
Adilabad,Bela,17-Jun-22,24.9,34.4
Adilabad,Bela,18-Jun-22,27.0,35.1
Adilabad,Bela,19-Jun-22,27.1,39.0
Adilabad,Bela,20-Jun-22,26.9,34.5
Adilabad,Bela,21-Jun-22,25.5,35.8
Adilabad,Bela,22-Jun-22,24.4,30.9
Adilabad,Bela,23-Jun-22,26.3,34.6
Adilabad,Bela,24-Jun-22,25.5,37.4
Adilabad,Bela,25-Jun-22,24.4,33.9
Adilabad,Bela,26-Jun-22,25.8,32.3
Adilabad,Bela,27-Jun-22,26.7,31.7
Adilabad,Bela,28-Jun-22,26.4,34.7
Adilabad,Bela,29-Jun-22,27.6,34.9
Adilabad,Bela,30-Jun-22,26.1,36.4
Adilabad,Bheempoor,01-Jun-22,30.9,39.4
Adilabad,Bheempoor,02-Jun-22,27.9,42.2
Adilabad,Bheempoor,03-Jun-22,32.2,43.4
Adilabad,Bheempoor,04-Jun-22,32.1,42.8
Adilabad,Bheempoor,05-Jun-22,31.1,36.8
Adilabad,Bheempoor,06-Jun-22,29.3,36.5
Adilabad,Bheempoor,07-Jun-22,32.1,42.3
Adilabad,Bheempoor,08-Jun-22,32.0,42.8
Adilabad,Bheempoor,09-Jun-22,28.8,42.8
Adilabad,Bheempoor,10-Jun-22,29.7,40.6
Adilabad,Bheempoor,11-Jun-22,26.7,40.8
Adilabad,Bheempoor,12-Jun-22,24.4,40.0
Adilabad,Bheempoor,13-Jun-22,26.9,34.9
Adilabad,Bheempoor,14-Jun-22,28.4,37.6
Adilabad,Bheempoor,15-Jun-22,27.8,36.9
Adilabad,Bheempoor,16-Jun-22,24.8,36.7
Adilabad,Bheempoor,17-Jun-22,24.9,34.8
Adilabad,Bheempoor,18-Jun-22,26.1,35.3
Adilabad,Bheempoor,19-Jun-22,25.0,37.4
Adilabad,Bheempoor,20-Jun-22,25.6,32.8
Adilabad,Bheempoor,21-Jun-22,25.5,35.1
Adilabad,Bheempoor,22-Jun-22,24.3,32.3
Adilabad,Bheempoor,23-Jun-22,25.5,33.8
Adilabad,Bheempoor,24-Jun-22,25.2,36.1
Adilabad,Bheempoor,25-Jun-22,24.5,33.0
Adilabad,Bheempoor,26-Jun-22,25.3,33.2
Adilabad,Bheempoor,27-Jun-22,26.6,31.9
Adilabad,Bheempoor,28-Jun-22,26.3,33.5
Adilabad,Bheempoor,29-Jun-22,26.6,33.3
Adilabad,Bheempoor,30-Jun-22,26.2,35.6
Adilabad,Boath,01-Jun-22,28.8,39.9
Adilabad,Boath,02-Jun-22,27.2,38.7
Adilabad,Boath,03-Jun-22,29.0,41.7
Adilabad,Boath,04-Jun-22,30.0,41.7
Adilabad,Boath,05-Jun-22,29.6,37.7
Adilabad,Boath,06-Jun-22,30.2,36.9
Adilabad,Boath,07-Jun-22,30.1,38.7
Adilabad,Boath,08-Jun-22,30.4,41.3
Adilabad,Boath,09-Jun-22,24.3,41.6
Adilabad,Boath,10-Jun-22,27.8,36.7
Adilabad,Boath,11-Jun-22,27.6,39.1
Adilabad,Boath,12-Jun-22,23.3,38.7
Adilabad,Boath,13-Jun-22,24.9,34.4
Adilabad,Boath,14-Jun-22,23.5,35.9
Adilabad,Boath,15-Jun-22,23.8,36.2
Adilabad,Boath,16-Jun-22,23.7,33.9
Adilabad,Boath,17-Jun-22,23.5,33.7
Adilabad,Boath,18-Jun-22,24.7,34.0
Adilabad,Boath,19-Jun-22,24.8,34.5
Adilabad,Boath,20-Jun-22,25.0,32.9
Adilabad,Boath,21-Jun-22,22.9,34.8
Adilabad,Boath,22-Jun-22,22.4,31.8
Adilabad,Boath,23-Jun-22,23.5,33.0
Adilabad,Boath,24-Jun-22,23.6,33.1
Adilabad,Boath,25-Jun-22,22.2,30.7
Adilabad,Boath,26-Jun-22,22.6,31.3
Adilabad,Boath,27-Jun-22,24.1,31.5
Adilabad,Boath,28-Jun-22,23.6,31.9
Adilabad,Boath,29-Jun-22,25.2,32.9
Adilabad,Boath,30-Jun-22,25.9,33.0
Adilabad,Gadiguda,01-Jun-22,31.2,40.9
Adilabad,Gadiguda,02-Jun-22,30.1,42.1
Adilabad,Gadiguda,03-Jun-22,32.3,43.5
Adilabad,Gadiguda,04-Jun-22,33.7,43.7
Adilabad,Gadiguda,05-Jun-22,32.0,40.0
