District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Adilabad Rural,01-Jul-22,23.8,35.8
Adilabad,Adilabad Rural,02-Jul-22,25.1,34.7
Adilabad,Adilabad Rural,03-Jul-22,23.5,33.7
Adilabad,Adilabad Rural,04-Jul-22,23.1,31.3
Adilabad,Adilabad Rural,05-Jul-22,23.5,27.7
Adilabad,Adilabad Rural,06-Jul-22,23.9,30.3
Adilabad,Adilabad Rural,07-Jul-22,23.5,31.5
Adilabad,Adilabad Rural,08-Jul-22,23.5,32.0
Adilabad,Adilabad Rural,09-Jul-22,22.7,25.8
Adilabad,Adilabad Rural,10-Jul-22,22.8,27.0
Adilabad,Adilabad Rural,11-Jul-22,22.9,27.3
Adilabad,Adilabad Rural,12-Jul-22,22.5,24.7
Adilabad,Adilabad Rural,13-Jul-22,22.4,23.8
Adilabad,Adilabad Rural,14-Jul-22,23.1,26.5
Adilabad,Adilabad Rural,15-Jul-22,25.2,27.8
Adilabad,Adilabad Rural,16-Jul-22,26.1,32.3
Adilabad,Adilabad Rural,17-Jul-22,27.1,33.7
Adilabad,Adilabad Rural,18-Jul-22,25.9,29.4
Adilabad,Adilabad Rural,19-Jul-22,24.8,28.3
Adilabad,Adilabad Rural,20-Jul-22,24.5,32.9
Adilabad,Adilabad Rural,21-Jul-22,23.8,30.5
Adilabad,Adilabad Rural,22-Jul-22,24.0,29.5
Adilabad,Adilabad Rural,23-Jul-22,23.0,29.2
Adilabad,Adilabad Rural,24-Jul-22,23.1,27.6
Adilabad,Adilabad Rural,25-Jul-22,25.9,29.0
Adilabad,Adilabad Rural,26-Jul-22,23.2,32.2
Adilabad,Adilabad Rural,27-Jul-22,23.3,25.6
Adilabad,Adilabad Rural,28-Jul-22,24.4,31.6
Adilabad,Adilabad Rural,29-Jul-22,24.1,32.2
Adilabad,Adilabad Rural,30-Jul-22,26.6,32.5
Adilabad,Adilabad Rural,31-Jul-22,26.7,32.8
Adilabad,Adilabad Urban,01-Jul-22,24.0,36.0
Adilabad,Adilabad Urban,02-Jul-22,25.4,33.0
Adilabad,Adilabad Urban,03-Jul-22,24.5,33.2
Adilabad,Adilabad Urban,04-Jul-22,23.5,32.0
Adilabad,Adilabad Urban,05-Jul-22,24.2,28.8
Adilabad,Adilabad Urban,06-Jul-22,24.3,31.0
Adilabad,Adilabad Urban,07-Jul-22,23.9,31.3
Adilabad,Adilabad Urban,08-Jul-22,23.9,31.7
Adilabad,Adilabad Urban,09-Jul-22,23.8,26.8
Adilabad,Adilabad Urban,10-Jul-22,23.2,26.0
Adilabad,Adilabad Urban,11-Jul-22,23.0,26.9
Adilabad,Adilabad Urban,12-Jul-22,22.9,25.8
Adilabad,Adilabad Urban,13-Jul-22,22.9,24.4
Adilabad,Adilabad Urban,14-Jul-22,22.2,24.8
Adilabad,Adilabad Urban,15-Jul-22,22.7,26.4
Adilabad,Adilabad Urban,16-Jul-22,23.9,31.6
Adilabad,Adilabad Urban,17-Jul-22,24.7,34.0
Adilabad,Adilabad Urban,18-Jul-22,23.6,30.1
Adilabad,Adilabad Urban,19-Jul-22,23.7,29.9
Adilabad,Adilabad Urban,20-Jul-22,24.8,33.7
Adilabad,Adilabad Urban,21-Jul-22,24.7,32.8
Adilabad,Adilabad Urban,22-Jul-22,24.9,30.5
Adilabad,Adilabad Urban,23-Jul-22,23.3,30.8
Adilabad,Adilabad Urban,24-Jul-22,23.7,27.9
Adilabad,Adilabad Urban,25-Jul-22,23.3,28.2
Adilabad,Adilabad Urban,26-Jul-22,23.5,30.7
Adilabad,Adilabad Urban,27-Jul-22,23.8,27.4
Adilabad,Adilabad Urban,28-Jul-22,24.9,34.5
Adilabad,Adilabad Urban,29-Jul-22,24.0,32.5
Adilabad,Adilabad Urban,30-Jul-22,24.0,31.4
Adilabad,Adilabad Urban,31-Jul-22,24.1,32.8
Adilabad,Bazarhathnoor,01-Jul-22,23.6,33.0
Adilabad,Bazarhathnoor,02-Jul-22,23.7,32.2
Adilabad,Bazarhathnoor,03-Jul-22,23.5,32.2
Adilabad,Bazarhathnoor,04-Jul-22,22.0,29.7
Adilabad,Bazarhathnoor,05-Jul-22,22.9,28.2
Adilabad,Bazarhathnoor,06-Jul-22,22.9,30.5
Adilabad,Bazarhathnoor,07-Jul-22,22.6,29.6
Adilabad,Bazarhathnoor,08-Jul-22,23.2,30.9
Adilabad,Bazarhathnoor,09-Jul-22,22.8,25.4
Adilabad,Bazarhathnoor,10-Jul-22,21.6,25.0
Adilabad,Bazarhathnoor,11-Jul-22,22.4,24.6
Adilabad,Bazarhathnoor,12-Jul-22,22.3,25.5
Adilabad,Bazarhathnoor,13-Jul-22,21.7,25.3
Adilabad,Bazarhathnoor,14-Jul-22,21.6,24.4
Adilabad,Bazarhathnoor,15-Jul-22,23.5,25.6
Adilabad,Bazarhathnoor,16-Jul-22,23.3,30.4
Adilabad,Bazarhathnoor,17-Jul-22,24.5,32.4
Adilabad,Bazarhathnoor,18-Jul-22,23.3,27.8
Adilabad,Bazarhathnoor,19-Jul-22,23.3,27.9
Adilabad,Bazarhathnoor,20-Jul-22,23.6,32.2
Adilabad,Bazarhathnoor,21-Jul-22,23.0,30.6
Adilabad,Bazarhathnoor,22-Jul-22,24.4,30.0
Adilabad,Bazarhathnoor,23-Jul-22,23.6,29.8
Adilabad,Bazarhathnoor,24-Jul-22,23.2,26.1
Adilabad,Bazarhathnoor,25-Jul-22,23.6,27.6
Adilabad,Bazarhathnoor,26-Jul-22,23.6,30.3
Adilabad,Bazarhathnoor,27-Jul-22,22.9,26.3
Adilabad,Bazarhathnoor,28-Jul-22,23.7,31.1
Adilabad,Bazarhathnoor,29-Jul-22,22.6,32.9
Adilabad,Bazarhathnoor,30-Jul-22,23.6,30.7
Adilabad,Bazarhathnoor,31-Jul-22,25.0,32.9
Adilabad,Bela,01-Jul-22,24.4,35.1
Adilabad,Bela,02-Jul-22,25.4,33.6
Adilabad,Bela,03-Jul-22,24.7,34.3
Adilabad,Bela,04-Jul-22,24.0,32.8
Adilabad,Bela,05-Jul-22,24.5,29.9
Adilabad,Bela,06-Jul-22,24.9,32.2
Adilabad,Bela,07-Jul-22,25.3,31.2
Adilabad,Bela,08-Jul-22,24.4,32.2
Adilabad,Bela,09-Jul-22,24.9,28.2
Adilabad,Bela,10-Jul-22,23.5,27.2
Adilabad,Bela,11-Jul-22,23.6,28.2
Adilabad,Bela,12-Jul-22,23.5,27.7
Adilabad,Bela,13-Jul-22,23.3,26.2
Adilabad,Bela,14-Jul-22,22.9,26.3
Adilabad,Bela,15-Jul-22,23.2,27.9
Adilabad,Bela,16-Jul-22,24.7,31.4
Adilabad,Bela,17-Jul-22,25.7,34.4
Adilabad,Bela,18-Jul-22,24.1,29.5
Adilabad,Bela,19-Jul-22,24.8,30.2
Adilabad,Bela,20-Jul-22,25.5,32.4
Adilabad,Bela,21-Jul-22,24.7,30.6
Adilabad,Bela,22-Jul-22,24.7,30.4
Adilabad,Bela,23-Jul-22,24.0,30.7
Adilabad,Bela,24-Jul-22,24.0,27.8
Adilabad,Bela,25-Jul-22,24.0,30.5
Adilabad,Bela,26-Jul-22,23.9,30.7
Adilabad,Bela,27-Jul-22,24.1,27.4
Adilabad,Bela,28-Jul-22,25.1,34.1
Adilabad,Bela,29-Jul-22,24.7,32.4
Adilabad,Bela,30-Jul-22,24.9,31.5
Adilabad,Bela,31-Jul-22,24.9,33.8
Adilabad,Bheempoor,01-Jul-22,24.6,34.3
Adilabad,Bheempoor,02-Jul-22,25.7,34.2
Adilabad,Bheempoor,03-Jul-22,25.2,32.8
Adilabad,Bheempoor,04-Jul-22,24.1,32.4
Adilabad,Bheempoor,05-Jul-22,24.1,28.3
Adilabad,Bheempoor,06-Jul-22,25.1,29.5
Adilabad,Bheempoor,07-Jul-22,24.8,31.1
Adilabad,Bheempoor,08-Jul-22,24.4,32.5
Adilabad,Bheempoor,09-Jul-22,24.4,27.3
Adilabad,Bheempoor,10-Jul-22,23.7,26.5
Adilabad,Bheempoor,11-Jul-22,23.6,27.9
Adilabad,Bheempoor,12-Jul-22,23.6,26.2
Adilabad,Bheempoor,13-Jul-22,22.9,24.7
